country,first_name,gender,gender_id,image_URL,last_name,party
"United Kingdom",Vicky,Female,1,http://ep.ngo.im/mepphoto/96949.jpg,FORD,ECR
"United Kingdom",Jacqueline,Female,1,http://ep.ngo.im/mepphoto/4553.jpg,FOSTER,ECR
"United Kingdom",Ashley,Male,2,http://ep.ngo.im/mepphoto/96957.jpg,FOX,ECR
Spain,Carmen,Female,1,http://ep.ngo.im/mepphoto/1993.jpg,"FRAGA ESTÉVEZ",PPE
France,Gaston,Male,2,http://ep.ngo.im/mepphoto/96908.jpg,FRANCO,PPE
Italy,Franco,Male,2,http://ep.ngo.im/mepphoto/118999.jpg,FRIGO,S&D
France,Jean-Claude,Male,2,http://ep.ngo.im/mepphoto/4297.jpg,FRUTEAU,
Bulgaria,Mariya,Female,1,http://ep.ngo.im/mepphoto/96848.jpg,GABRIEL,PPE
Germany,Michael,Male,2,http://ep.ngo.im/mepphoto/2341.jpg,GAHLER,PPE
Hungary,Kinga,Female,1,http://ep.ngo.im/mepphoto/28150.jpg,GÁL,PPE
Hungary,Ildikó,Female,1,http://ep.ngo.im/mepphoto/102886.jpg,GÁLL-PELCZ,PPE
Ireland,"Pat the Cope",Male,2,http://ep.ngo.im/mepphoto/2125.jpg,GALLAGHER,ALDE
Spain,"Vicente Miguel",Male,2,http://ep.ngo.im/mepphoto/39321.jpg,"GARCÉS RAMÓN",S&D
Spain,Iratxe,Female,1,http://ep.ngo.im/mepphoto/28298.jpg,"GARCÍA PÉREZ",S&D
Spain,Dolores,Female,1,http://ep.ngo.im/mepphoto/111017.jpg,"GARCÍA-HIERRO CARABALLO",S&D
Spain,Eider,Female,1,http://ep.ngo.im/mepphoto/96991.jpg,"GARDIAZÁBAL RUBIAL",S&D
Italy,Giuseppe,Male,2,http://ep.ngo.im/mepphoto/4562.jpg,GARGANI,PPE
Spain,Salvador,Male,2,http://ep.ngo.im/mepphoto/1665.jpg,"GARRIGA POLLEDO",PPE
France,Jean-Paul,Male,2,http://ep.ngo.im/mepphoto/28193.jpg,GAUZÈS,PPE
Germany,Evelyne,Female,1,http://ep.ngo.im/mepphoto/1913.jpg,GEBHARDT,S&D
Germany,Jens,Male,2,http://ep.ngo.im/mepphoto/96833.jpg,GEIER,S&D
Netherlands,Gerben-Jan,Male,2,http://ep.ngo.im/mepphoto/96940.jpg,GERBRANDY,ALDE
Poland,"Lidia Joanna",Female,1,http://ep.ngo.im/mepphoto/28377.jpg,"GERINGER de OEDENBERG",S&D
Greece,Marietta,Female,1,http://ep.ngo.im/mepphoto/1431.jpg,GIANNAKOU,PPE
Germany,Sven,Male,2,http://ep.ngo.im/mepphoto/96730.jpg,GIEGOLD,Verts/ALE
Poland,Adam,Male,2,http://ep.ngo.im/mepphoto/28379.jpg,GIEREK,S&D
"United Kingdom",Julie,Female,1,http://ep.ngo.im/mepphoto/96956.jpg,GIRLING,ECR
Germany,Norbert,Male,2,http://ep.ngo.im/mepphoto/1902.jpg,GLANTE,S&D
Hungary,Béla,Male,2,http://ep.ngo.im/mepphoto/28145.jpg,GLATTFELDER,PPE
Latvia,Ivars,Male,2,http://ep.ngo.im/mepphoto/97004.jpg,GODMANIS,ALDE
Luxembourg,Robert,Male,2,http://ep.ngo.im/mepphoto/4429.jpg,GOEBBELS,S&D
Luxembourg,Charles,Male,2,http://ep.ngo.im/mepphoto/840.jpg,GOERENS,ALDE
France,Bruno,Male,2,http://ep.ngo.im/mepphoto/1164.jpg,GOLLNISCH,"NA,NI"
Portugal,Ana,Female,1,http://ep.ngo.im/mepphoto/28306.jpg,GOMES,S&D
Hungary,Kinga,Female,1,http://ep.ngo.im/mepphoto/96832.jpg,GÖNCZ,S&D
France,Sylvie,Female,1,http://ep.ngo.im/mepphoto/97137.jpg,GOULARD,ALDE
Spain,"Luis de",Male,2,http://ep.ngo.im/mepphoto/28393.jpg,"GRANDES PASCUAL",PPE
Germany,Ingeborg,Female,1,http://ep.ngo.im/mepphoto/28220.jpg,GRÄSSLE,PPE
France,Catherine,Female,1,http://ep.ngo.im/mepphoto/96745.jpg,GRÈZE,Verts/ALE
France,Nathalie,Female,1,http://ep.ngo.im/mepphoto/28208.jpg,GRIESBECK,ALDE
"United Kingdom",Nick,Male,2,http://ep.ngo.im/mepphoto/96751.jpg,GRIFFIN,"NA,NI"
Poland,"Marek Józef",Male,2,http://ep.ngo.im/mepphoto/96790.jpg,GRÓBARCZYK,ECR
Germany,Matthias,Male,2,http://ep.ngo.im/mepphoto/34728.jpg,GROOTE,S&D
Belgium,Mathieu,Male,2,http://ep.ngo.im/mepphoto/2247.jpg,GROSCH,PPE
France,Françoise,Female,1,http://ep.ngo.im/mepphoto/2025.jpg,GROSSETÊTE,PPE
Poland,Andrzej,Male,2,http://ep.ngo.im/mepphoto/23785.jpg,GRZYB,PPE
Italy,Roberto,Male,2,http://ep.ngo.im/mepphoto/96892.jpg,GUALTIERI,S&D
Spain,Enrique,Male,2,http://ep.ngo.im/mepphoto/96768.jpg,"GUERRERO SALOM",S&D
France,Sylvie,Female,1,http://ep.ngo.im/mepphoto/96952.jpg,GUILLAUME,S&D
Hungary,Zita,Female,1,http://ep.ngo.im/mepphoto/23805.jpg,GURMAI,S&D
Sweden,Mikael,Male,2,http://ep.ngo.im/mepphoto/109649.jpg,GUSTAFSSON,GUE/NGL
Spain,Sergio,Male,2,http://ep.ngo.im/mepphoto/103488.jpg,"GUTIÉRREZ PRIETO",S&D
Spain,Cristina,Female,1,http://ep.ngo.im/mepphoto/4326.jpg,GUTIÉRREZ-CORTINES,PPE
Hungary,András,Male,2,http://ep.ngo.im/mepphoto/23816.jpg,GYÜRK,PPE
